Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
World,"2,517,478","2,749,365","3,007,751","3,309,934","3,667,801","4,045,192","4,421,695","4,833,180","5,289,294","5,713,824","6,104,538","6,496,776","6,906,374","7,325,929"
Afghanistan,"7,752","8,270","8,995","9,935","11,121","12,583","13,211","11,630","12,068","16,773","19,702","24,400","27,962","32,527"
Albania,"1,263","1,420","1,636","1,896","2,151","2,411","2,681","2,967","3,281","3,107","3,122","3,082","2,902","2,897"
Algeria,"8,872","9,830","11,125","12,627","14,550","16,709","19,338","22,566","25,912","28,904","31,184","33,268","36,036","39,667"
American Samoa,19,20,20,24,27,30,32,39,47,53,58,59,56,56
Andorra,6,9,13,19,24,31,36,45,55,64,65,81,84,70
Angola,"4,355","4,808","5,271","5,765","6,301","7,107","8,212","9,745","11,128","13,043","15,059","17,913","21,220","25,022"
Anguilla,5,6,6,6,6,7,7,7,8,10,11,13,14,15
Antigua and Barbuda,46,53,55,60,65,69,70,66,62,68,78,83,87,92
Argentina,"17,150","18,929","20,619","22,283","23,973","26,067","28,106","30,389","32,730","34,995","37,057","39,145","41,223","43,417"
Armenia,"1,354","1,564","1,867","2,205","2,518","2,826","3,096","3,339","3,545","3,223","3,076","3,015","2,963","3,018"
Aruba,38,44,54,57,59,61,60,63,62,80,91,100,102,104
Australia,"8,177","9,213","10,292","11,368","12,905","13,893","14,708","15,791","17,097","18,125","19,107","20,274","22,163","23,969"
Austria,"6,936","6,949","7,066","7,299","7,510","7,628","7,597","7,601","7,707","7,973","8,051","8,235","8,392","8,545"
Azerbaijan,"2,896","3,328","3,898","4,580","5,178","5,694","6,164","6,674","7,217","7,771","8,118","8,563","9,100","9,754"
The Bahamas,79,89,110,140,169,189,211,235,256,280,298,329,361,388
Bahrain,116,134,163,187,213,267,360,419,496,564,667,867,"1,261","1,377"
Bangladesh,"37,895","42,122","48,201","55,835","65,049","71,247","81,364","93,015","105,983","118,428","131,281","142,930","151,617","160,996"
Barbados,211,227,231,235,239,246,252,256,260,265,270,274,280,284
Belarus,"7,745","7,804","8,190","8,607","9,039","9,366","9,654","9,991","10,232","10,160","9,952","9,641","9,492","9,496"
